what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328552101271
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1328552101271
java.specification.name,sysinfo,,,"Java Platform API Specification",1328552101271
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328552101271
java.specification.version,sysinfo,,,"1.6",1328552101271
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328552101271
java.version,sysinfo,,,"1.6.0_21",1328552101271
java.vm.info,sysinfo,,,"mixed mode",1328552101271
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328552101271
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328552101271
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328552101271
java.vm.specification.version,sysinfo,,,"1.0",1328552101271
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328552101271
java.vm.version,sysinfo,,,"17.0-b17",1328552101271
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328552101295
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1328552101402
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1328552101804
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1328552101975
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1328552102586
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1328552103010
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328552103059
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328552103093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328552105102
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328552106622
